AGI	WT-1_count	WT-2_count	#5-1_count	#5-2_count	WT-1_FPKM	WT-2_FPKM	#5-1_FPKM	#5-2_FPKM	WT_mean-FPKM	#5_mean-FPKM	log2 (FC)	P Value	FDR	Name	Annotation
AT5G59865	2	6	5	13	0.257	0.733	0.574	1.528	0.495	1.051	1.086262239	0.512599692	0.919300743	AT5G59865	glycine-rich RNA-binding-like protein
AT5G59870	1045	1071	1403	1239	64.273	62.582	77.035	69.645	63.4275	73.34	0.209491787	0.904289439	0.985295315	HTA6	histone H2A 6
AT5G59880	3660	4090	4311	4102	183.092	194.383	192.523	187.538	188.7375	190.0305	0.009849892	0.097560712	0.429783012	ADF3	actin depolymerizing factor 3
AT5G59890	1420	1568	1512	1397	72.877	76.441	69.209	65.506	74.659	67.3575	-0.148477592	0.011265994	0.10031276	ADF4	actin depolymerizing factor 4
AT5G59895	0	8	0	0	0	1.918	0	0	0.959	0.001	-9.905387005	0.149234636	0.548573277	AT5G59895	uncharacterized protein
AT5G59900	48	65	80	79	0.821	1.056	1.221	1.235	0.9385	1.228	0.387881911	0.683958956	0.958433792	AT5G59900	Pentatricopeptide repeat (PPR) superfamily protein
AT5G59910	2433	2465	2886	2944	90.763	87.363	96.112	100.371	89.063	98.2415	0.14150638	0.528164736	0.925238356	HTB4	Histone superfamily protein
AT5G59920	256	265	219	276	4.74	4.662	3.62	4.67	4.701	4.145	-0.181595579	0.095072104	0.421805174	ULI3	Cysteine/Histidine-rich C1 domain family protein
AT5G59930	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT5G59930	Cysteine/Histidine-rich C1 domain family protein
AT5G59940	0	0	0	6	0	0	0	0.116	0.001	0.058	5.857980995	0.33587012	0.801040737	AT5G59940	Cysteine/Histidine-rich C1 domain family protein
AT5G59950	1110	1196	1477	1410	40.03	41.225	47.68	46.699	40.6275	47.1895	0.216009294	0.924926024	0.986425089	AT5G59950	RNA-binding (RRM/RBD/RNP motifs) family protein
AT5G59960	567	600	599	622	15.678	15.629	14.645	15.569	15.6535	15.107	-0.051268075	0.117199472	0.476875632	AT5G59960	K-stimulated pyrophosphate-energized sodium pump protein
AT5G59970	593	655	726	877	38.401	40.084	42.363	50.555	39.2425	46.459	0.243541148	0.897990455	0.984153631	AT5G59970	Histone superfamily protein
AT5G59980	62	101	200	230	1.252	2.006	3.652	4.335	1.629	3.9935	1.29366711	0.001134372	0.017425007	GAF1	Polymerase/histidinol phosphatase-like protein
AT5G59990	8	18	5	18	0.352	0.736	0.192	0.708	0.544	0.45	-0.27368165	0.627394472	0.958433792	AT5G59990	CCT motif family protein
AT5G60000	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT5G60000	uncharacterized protein
AT5G60010	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT5G60010	ferric reductase-like transmembrane component family protein
AT5G60020	88	76	64	82	2.283	1.738	1.377	1.78	2.0105	1.5785	-0.349000075	0.185777093	0.61317437	LAC17	laccase 17
AT5G60030	110	177	301	270	4.553	6.961	11.123	10.214	5.757	10.6685	0.889968229	0.022359404	0.16422621	AT5G60030	uncharacterized protein
AT5G60040	244	267	448	429	2.539	2.64	4.168	4.081	2.5895	4.1245	0.671545678	0.031016412	0.206198243	NRPC1	nuclear RNA polymerase C1
AT5G60050	38	53	82	86	0.922	1.221	1.775	1.906	1.0715	1.8405	0.7804659	0.177704732	0.599899809	AT5G60050	BTB/POZ domain-containing protein
AT5G60060	0	3	6	1	0	0.107	0.2	0.034	0.0535	0.117	1.128897733	0.683321919	0.958433792	AT5G60060	F-box SKIP23-like protein (DUF295)
AT5G60070	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT5G60070	ankyrin repeat family protein
AT5G60080	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT5G60080	Protein kinase superfamily protein
AT5G60090	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT5G60090	Protein kinase superfamily protein
AT5G60100	11	60	507	610	0.244	1.219	9.862	12.066	0.7315	10.964	3.905772559	0.000241845	0.005050583	PRR3	pseudo-response regulator 3
AT5G60110	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	PUM18	pumilio 18
AT5G60120	841	863	940	942	17.937	17.521	17.987	18.354	17.729	18.1705	0.035486955	0.221355733	0.667318201	TOE2	target of early activation tagged (EAT) 2
AT5G60130	4	4	4	6	0.177	0.191	0.159	0.271	0.184	0.215	0.224630894	0.990061751	0.997723611	AT5G60130	AP2/B3-like transcriptional factor family protein
AT5G60140	0	0	0	1	0	0	0	0.032	0.001	0.016	4	0.824680889	0.966194613	AT5G60140	AP2/B3-like transcriptional factor family protein
AT5G60142	3	7	5	8	0.11	0.227	0.163	0.245	0.1685	0.204	0.275820561	0.962697841	0.991816774	AT5G60142	AP2/B3-like transcriptional factor family protein
AT5G60150	96	125	103	120	1.08	1.335	1.034	1.284	1.2075	1.159	-0.059142623	0.323566591	0.790198492	AT5G60150	uncharacterized protein
AT5G60160	603	674	880	861	16.027	17.019	20.88	20.914	16.523	20.897	0.338820188	0.502126945	0.913979008	AT5G60160	Zn-dependent exopeptidases superfamily protein
AT5G60170	1163	1269	1414	1482	15.909	16.494	17.273	18.534	16.2015	17.9035	0.144114261	0.564901428	0.937305832	AT5G60170	RNA binding (RRM/RBD/RNP motifs) family protein
AT5G60180	8	4	9	2	0.304	0.145	0.306	0.07	0.2245	0.188	-0.255982783	0.721039659	0.958433792	PUM19	pumilio 19
AT5G60190	78	74	129	117	3.16	2.849	4.666	4.333	3.0045	4.4995	0.582639771	0.291559495	0.756390215	AT5G60190	Cysteine proteinases superfamily protein
AT5G60200	167	163	129	169	4.964	4.603	3.423	4.591	4.7835	4.007	-0.255544089	0.098903275	0.433132305	TMO6	TARGET OF MONOPTEROS 6
AT5G60210	418	480	527	615	8.701	9.348	9.977	11.742	9.0245	10.8595	0.267038772	0.955689511	0.990470922	RIP5	ROP interactive partner 5
AT5G60215	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT5G60215	uncharacterized protein
AT5G60220	3	5	1	4	0.134	0.212	0.04	0.163	0.173	0.1015	-0.76929231	0.548147009	0.935223771	TET4	tetraspanin4
AT5G60230	41	46	56	36	1.548	1.678	1.925	1.23	1.613	1.5775	-0.032106433	0.603063374	0.950189507	SEN2	splicing endonuclease 2
AT5G60240	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT5G60240	uncharacterized protein
AT5G60250	57	62	180	183	0.842	0.871	2.375	2.472	0.8565	2.4235	1.500566931	0.0000546	0.001491241	AT5G60250	zinc finger (C3HC4-type RING finger) family protein
AT5G60260	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT5G60260	uncharacterized protein
AT5G60265	0	0	2	0	0	0	0.173	0	0.001	0.0865	6.434628228	0.667883855	0.958433792	AT5G60265	uncharacterized protein
AT5G60270	241	378	440	559	4.981	7.423	8.119	10.56	6.202	9.3395	0.59061179	0.170668659	0.587778249	AT5G60270	Concanavalin A-like lectin protein kinase family protein
AT5G60280	54	70	84	77	1.121	1.38	1.556	1.46	1.2505	1.508	0.270131371	0.9101303	0.98553254	AT5G60280	Concanavalin A-like lectin protein kinase family protein
AT5G60290	1	0	2	4	0.104	0	0.185	0.38	0.052	0.2825	2.441667339	0.393024841	0.849182839	AT5G60290	uncharacterized protein
AT5G60300	233	236	216	212	4.2	4.034	3.513	3.495	4.117	3.504	-0.232590674	0.045433114	0.267263781	LecRK-I.9	Concanavalin A-like lectin protein kinase family protein
AT5G60310	7	12	9	3	0.157	0.256	0.18	0.062	0.2065	0.121	-0.771134734	0.386228643	0.846635176	AT5G60310	Concanavalin A-like lectin protein kinase family protein
AT5G60320	1	0	0	0	0.024	0	0	0	0.012	0.001	-3.584962501	0.713849304	0.958433792	AT5G60320	Concanavalin A-like lectin protein kinase family protein
AT5G60335	5	8	19	26	0.281	0.397	0.886	1.216	0.339	1.051	1.632405491	0.091909668	0.41370944	AT5G60335	hydroxyacyl-thioester dehydratase type-like protein
AT5G60340	677	814	1234	1094	32.806	37.475	53.383	48.45	35.1405	50.9165	0.534998533	0.072042924	0.356145702	AAK6	P-loop containing nucleoside triphosphate hydrolases superfamily protein
AT5G60350	3	0	5	2	0.11	0	0.164	0.067	0.055	0.1155	1.070389328	0.701521515	0.958433792	AT5G60350	uncharacterized protein
AT5G60360	9216	7275	5044	5181	281.186	210.523	137.009	144.437	245.8545	140.723	-0.804946617	0.000000089	0.00000677	ALP	aleurain-like protease
AT5G60370	151	184	170	181	4.175	4.834	4.196	4.574	4.5045	4.385	-0.038790133	0.311870673	0.778903145	AT5G60370	exonuclease V-like protein
AT5G60380	0	1	0	0	0	0.041	0	0	0.0205	0.001	-4.357552005	0.724144815	0.958433792	AT5G60380	transmembrane protein, putative (DUF239)
AT5G60390	25563	27615	38725	36305	710.569	726.563	968.578	930.714	718.566	949.646	0.402269146	0.208286748	0.650055317	AT5G60390	GTP binding Elongation factor Tu family protein
AT5G60400	376	463	547	504	14.909	17.029	18.967	17.869	15.969	18.418	0.205842436	0.961637286	0.991253116	AT5G60400	uncharacterized protein
AT5G60410	1579	1817	2055	1860	22.665	24.612	26.285	24.588	23.6385	25.4365	0.105761682	0.380330727	0.842218249	SIZ1	DNA-binding protein with MIZ/SP-RING zinc finger, PHD-finger and SAP domain-containing protein
AT5G60430	83	81	94	95	3.651	3.083	3.65	3.73	3.367	3.69	0.132157095	0.69272072	0.958433792	AT5G60430	antiporter/ drug transporter
AT5G60440	4	3	7	11	0.094	0.067	0.147	0.236	0.0805	0.1915	1.250283704	0.413666613	0.863693751	AGL62	AGAMOUS-like 62
AT5G60450	535	622	795	873	7.911	8.692	10.433	11.725	8.3015	11.079	0.416383722	0.273248954	0.73595094	ARF4	auxin response factor 4
AT5G60460	114	140	100	118	8.036	9.273	6.068	7.39	8.6545	6.729	-0.363058351	0.07554976	0.367374565	AT5G60460	Preprotein translocase Sec, Sec61-beta subunit protein
AT5G60470	3	3	1	2	0.105	0.1	0.031	0.052	0.1025	0.0415	-1.304440668	0.480744508	0.905224455	AT5G60470	C2H2 and C2HC zinc fingers superfamily protein
AT5G60480	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	HB26	homeobox protein 26
AT5G60490	7	23	28	33	0.245	0.765	0.875	1.055	0.505	0.965	0.934245555	0.352396656	0.816975555	FLA12	FASCICLIN-like arabinogalactan-protein 12
AT5G60500	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	cPT8	Undecaprenyl pyrophosphate synthetase family protein
AT5G60510	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	cPT9	Undecaprenyl pyrophosphate synthetase family protein
AT5G60520	0	0	0	2	0	0	0	0.066	0.001	0.033	5.044394119	0.666551307	0.958433792	AT5G60520	Late embryogenesis abundant (LEA) protein-like protein
AT5G60530	0	0	0	5	0	0	0	0.123	0.001	0.0615	5.942514505	0.401250728	0.855157023	AT5G60530	late embryogenesis abundant protein-related / LEA protein-like protein
AT5G60540	317	429	1167	1191	12.954	16.655	42.572	44.479	14.8045	43.5255	1.555825105	3.29E-12	8.68E-10	PDX2	pyridoxine biosynthesis 2
AT5G60550	381	491	604	631	9.373	11.476	13.266	14.188	10.4245	13.727	0.397038175	0.384837535	0.845720958	GRIK2	geminivirus rep interacting kinase 2
AT5G60553	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT5G60553	Defensin-like (DEFL) family protein
AT5G60560	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT5G60560	F-box and associated interaction domains-containing protein
AT5G60570	536	581	707	720	12.637	12.958	14.866	15.524	12.7975	15.195	0.247734669	0.927595904	0.986425089	AT5G60570	Galactose oxidase/kelch repeat superfamily protein
AT5G60580	170	130	164	181	3.793	2.838	3.114	3.812	3.3155	3.463	0.062795933	0.635550968	0.958433792	AT5G60580	RING/U-box superfamily protein
AT5G60590	85	105	139	129	3.27	3.864	4.803	4.563	3.567	4.683	0.392721822	0.604805888	0.95105339	AT5G60590	DHBP synthase RibB-like alpha/beta domain-containing protein
AT5G60600	10331	11625	14764	14680	181.474	193.921	231.477	235.611	187.6975	233.544	0.315284947	0.485619837	0.906847446	HDS	4-hydroxy-3-methylbut-2-enyl diphosphate synthase
AT5G60610	11	20	20	9	0.361	0.597	0.586	0.258	0.479	0.422	-0.182782657	0.621961415	0.958433792	AT5G60610	F-box/RNI-like superfamily protein
AT5G60615	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT5G60615	Defensin-like (DEFL) family protein
AT5G60620	573	662	756	766	19.663	21.583	23.16	24.023	20.623	23.5915	0.194012936	0.837993779	0.971620381	GPAT9	glycerol-3-phosphate acyltransferase 9
AT5G60630	15	26	15	22	0.953	1.57	0.851	1.278	1.2615	1.0645	-0.244964257	0.512450501	0.919300743	AT5G60630	uncharacterized protein
AT5G60640	1907	2164	2416	2447	46.405	50.477	51.954	54.616	48.441	53.285	0.137500816	0.56242847	0.936380235	PDIL1-4	PDI-like 1-4
AT5G60650	7	5	5	4	0.542	0.368	0.345	0.283	0.455	0.314	-0.535101986	0.548294596	0.935223771	AT5G60650	proline-rich receptor-like kinase
AT5G60660	11	14	26	28	0.364	0.441	0.769	0.848	0.4025	0.8085	1.00625899	0.269161882	0.731385578	PIP2%3B4	plasma membrane intrinsic protein 2%3B4
AT5G60670	1099	1206	1927	1717	48.105	50.152	75.3	68.687	49.1285	71.9935	0.551306466	0.036452228	0.230409716	AT5G60670	Ribosomal protein L11 family protein
AT5G60680	4169	4159	2646	3387	154.443	146.377	87.507	114.672	150.41	101.0895	-0.573267333	0.00000815	0.00031785	AT5G60680	transcription initiation factor TFIID subunit (Protein of unknown function, DUF584)
AT5G60690	342	349	332	364	4.63	4.488	4.012	4.503	4.559	4.2575	-0.098710879	0.114698428	0.471814422	REV	Homeobox-leucine zipper family protein / lipid-binding START domain-containing protein
AT5G60700	191	263	281	313	3.765	4.925	4.944	5.638	4.345	5.291	0.284184241	0.818736124	0.966194613	AT5G60700	glycosyltransferase family protein 2
AT5G60710	404	712	1011	1252	6.964	11.661	15.558	19.724	9.3125	17.641	0.921691918	0.008740522	0.082817162	AT5G60710	Zinc finger (C3HC4-type RING finger) family protein
AT5G60720	29	18	26	15	0.576	0.34	0.461	0.272	0.458	0.3665	-0.3215344	0.438945268	0.882297639	AT5G60720	electron transporter, putative (Protein of unknown function, DUF547)
AT5G60730	11	16	65	58	0.348	0.481	1.836	1.677	0.4145	1.7565	2.08325957	0.001036001	0.016236517	AT5G60730	Anion-transporting ATPase
AT5G60740	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	ABCG28	ABC transporter family protein
AT5G60750	464	472	547	485	15.03	14.526	15.818	14.358	14.778	15.088	0.029950547	0.29988957	0.766134879	AT5G60750	CAAX amino terminal protease family protein
AT5G60760	4	13	19	16	0.081	0.212	0.293	0.296	0.1465	0.2945	1.007366969	0.43857921	0.882297639	AT5G60760	P-loop containing nucleoside triphosphate hydrolases superfamily protein
AT5G60770	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	NRT2.4	nitrate transporter 2.4
AT5G60780	22	32	25	21	0.549	0.759	0.557	0.479	0.654	0.518	-0.336338538	0.363880126	0.827609894	NRT2.3	nitrate transporter 2.3
AT5G60790	1813	1441	1979	1941	34.351	25.939	33.474	33.61	30.145	33.542	0.154049985	0.692381808	0.958433792	ABCF1	ABC transporter family protein
AT5G60800	359	297	300	290	14.468	11.161	10.872	10.2	12.8145	10.536	-0.282449938	0.039281611	0.241937593	AT5G60800	Heavy metal transport/detoxification superfamily protein
AT5G60805	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT5G60805	Putative membrane lipoprotein
AT5G60810	0	0	0	2	0	0	0	0.198	0.001	0.099	6.62935662	0.666551307	0.958433792	RGF1	root meristem growth factor 1
AT5G60820	118	150	175	159	3.435	4.148	4.548	4.23	3.7915	4.389	0.211123547	0.954430927	0.990363415	AT5G60820	RING/U-box superfamily protein
AT5G60830	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	bZIP70	basic leucine-zipper 70
AT5G60840	540	527	458	448	26.846	24.891	20.326	20.355	25.8685	20.3405	-0.346841258	0.002268747	0.030070616	AT5G60840	uncharacterized protein
AT5G60850	808	516	334	440	20.696	12.556	7.637	10.3	16.626	8.9685	-0.8905025	0.000182382	0.004036585	OBP4	OBF binding protein 4
AT5G60860	534	512	447	471	24.492	22.31	18.302	19.742	23.401	19.022	-0.298901241	0.006161861	0.064177982	RABA1f	RAB GTPase homolog A1F
AT5G60870	74	94	184	211	2.354	2.903	5.571	6.319	2.6285	5.945	1.177437075	0.002901962	0.036266708	RUG3	Regulator of chromosome condensation (RCC1) family protein
AT5G60880	72	72	89	64	2.912	2.767	3.214	2.366	2.8395	2.79	-0.02537179	0.518725347	0.919790624	BASL	breaking of asymmetry in the stomatal lineage
AT5G60890	454	230	246	227	12.257	5.899	5.929	5.601	9.078	5.765	-0.65505388	0.015058056	0.123635965	MYB34	myb domain protein 34
AT5G60900	36	21	36	37	0.601	0.333	0.537	0.565	0.467	0.551	0.238629769	0.995764813	0.99877902	RLK1	receptor-like protein kinase 1
AT5G60910	4	7	3	3	0.185	0.248	0.114	0.102	0.2165	0.108	-1.003335713	0.397102219	0.852666737	AGL8	AGAMOUS-like 8
AT5G60920	3825	3976	4701	4910	87.757	86.665	96.282	102.953	87.211	99.6175	0.191889091	0.776880039	0.966194613	COB	COBRA-like extracellular glycosyl-phosphatidyl inositol-anchored protein family
AT5G60930	400	474	604	517	4.333	4.877	5.839	5.119	4.605	5.479	0.250711447	0.905366751	0.985359506	AT5G60930	P-loop containing nucleoside triphosphate hydrolases superfamily protein
AT5G60940	257	295	421	381	6.484	7.044	9.401	8.814	6.764	9.1075	0.42917843	0.334910908	0.801040737	AT5G60940	Transducin/WD40 repeat-like superfamily protein
AT5G60945	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT5G60945	ECA1 gametogenesis related family protein
AT5G60950	37	49	36	22	1.657	2.085	1.44	0.901	1.871	1.1705	-0.676684624	0.100090138	0.436279155	COBL5	COBRA-like protein 5 precursor
AT5G60960	411	525	685	784	10.143	12.309	15.091	17.682	11.226	16.3865	0.545663777	0.108347753	0.456102748	PNM1	Pentatricopeptide repeat (PPR) superfamily protein
AT5G60964	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT5G60964	ECA1 gametogenesis related family protein
AT5G60970	132	160	152	235	3.774	4.346	3.88	6.14	4.06	5.01	0.303330876	0.822373739	0.966194613	TCP5	TEOSINTE BRANCHED 1, cycloidea and PCF transcription factor 5
AT5G60980	986	1029	1213	1136	23.988	23.841	26.339	25.192	23.9145	25.7655	0.107554961	0.449824356	0.889259007	AT5G60980	Nuclear transport factor 2 (NTF2) family protein with RNA binding (RRM-RBD-RNP motifs) domain-containing protein
AT5G60990	251	297	494	501	6.566	7.381	11.536	11.977	6.9735	11.7565	0.753503791	0.008911135	0.084052374	AT5G60990	DEA(D/H)-box RNA helicase family protein
AT5G61000	232	272	280	326	4.824	5.374	5.198	6.196	5.099	5.697	0.159988068	0.763186672	0.966194613	RPA70D	Replication factor-A protein 1-like protein
AT5G61010	359	387	434	390	5.751	5.706	6.091	5.479	5.7285	5.785	0.014159539	0.328693947	0.795996669	EXO70E2	exocyst subunit exo70 family protein E2
AT5G61020	966	1084	1695	1662	23.662	25.143	37.126	37.329	24.4025	37.2275	0.609339778	0.010990564	0.098461658	ECT3	evolutionarily conserved C-terminal region 3
AT5G61030	324	379	1009	917	10.808	11.624	28.621	27.293	11.216	27.957	1.317651302	6.36E-10	9.28E-08	GR-RBP3	glycine-rich RNA-binding protein 3
AT5G61040	153	224	287	317	2.995	4.164	5.007	5.67	3.5795	5.3385	0.576676354	0.182642078	0.607279671	AT5G61040	uncharacterized protein
AT5G61050	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT5G61050	histone deacetylase-related / HD-like protein
AT5G61060	388	499	550	559	7.472	9.13	9.456	9.839	8.301	9.6475	0.216869994	0.956622491	0.990614175	HDA05	histone deacetylase 5
AT5G61070	15	18	18	16	0.318	0.362	0.34	0.31	0.34	0.325	-0.065095028	0.690123379	0.958433792	HDA18	histone deacetylase of the RPD3/HDA1 superfamily 18
AT5G61090	5	0	1	0	0.104	0	0.019	0	0.052	0.0095	-2.452512205	0.379829706	0.841546474	AT5G61090	Polynucleotidyl transferase, ribonuclease H-like superfamily protein
AT5G61100	0	0	4	1	0	0	0.167	0.054	0.001	0.1105	6.787902559	0.306386355	0.772543919	AT5G61100	uncharacterized protein
AT5G61110	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT5G61110	zinc ion binding protein
AT5G61120	1	6	4	2	0.028	0.154	0.098	0.048	0.091	0.073	-0.317970081	0.761503867	0.966194613	AT5G61120	zinc ion-binding protein
AT5G61130	631	736	949	906	27.977	31.003	37.563	36.712	29.49	37.1375	0.332650878	0.526439405	0.924373037	PDCB1	plasmodesmata callose-binding protein 1
AT5G61140	1262	1497	1740	1676	8.932	10.066	10.994	10.841	9.499	10.9175	0.200794983	0.856221775	0.975137558	AT5G61140	U5 small nuclear ribonucleoprotein helicase
AT5G61150	816	1036	1261	1333	17.12	20.676	23.643	25.617	18.898	24.63	0.382183068	0.365232747	0.828084854	VIP4	leo1-like family protein
AT5G61160	118	123	70	63	3.282	3.25	1.738	1.601	3.266	1.6695	-0.968108697	0.000349661	0.006826918	AACT1	anthocyanin 5-aromatic acyltransferase 1
AT5G61170	2145	2204	3311	3145	111.853	109.189	154.133	149.88	110.521	152.0065	0.459812496	0.100365694	0.436963339	AT5G61170	Ribosomal protein S19e family protein
AT5G61180	2	0	3	7	0.071	0	0.095	0.227	0.0355	0.161	2.181169759	0.347902248	0.812991396	AT5G61180	Putative endonuclease or glycosyl hydrolase
AT5G61190	276	269	353	373	3.679	3.435	4.177	4.55	3.557	4.3635	0.294824823	0.735710958	0.960532234	AT5G61190	putative endonuclease or glycosyl hydrolase with C2H2-type zinc finger domain-containing protein
AT5G61200	66	76	106	84	1.931	1.965	2.383	2.088	1.948	2.2355	0.198603868	0.819476177	0.966194613	AT5G61200	myosin heavy chain-like protein
AT5G61210	1622	1840	2665	1694	51.175	55.41	75.042	48.961	53.2925	62.0015	0.218370606	0.982580794	0.996308721	SNAP33	soluble N-ethylmaleimide-sensitive factor adaptor protein 33
AT5G61220	164	246	277	274	16.402	22.822	24.623	24.502	19.612	24.5625	0.324720741	0.712292879	0.958433792	AT5G61220	LYR family of Fe/S cluster biogenesis protein
AT5G61230	624	846	1033	1143	22.424	28.883	33.139	37.539	25.6535	35.339	0.462105545	0.218791632	0.663458989	ANK6	Ankyrin repeat family protein
AT5G61240	778	804	1041	1011	25.547	25.078	30.516	30.34	25.3125	30.428	0.265549507	0.82248785	0.966194613	AT5G61240	Leucine-rich repeat (LRR) family protein
AT5G61250	31	23	47	34	0.814	0.547	1.057	0.867	0.6805	0.962	0.499441732	0.676854121	0.958433792	GUS1	glucuronidase 1
AT5G61260	3	6	7	11	0.097	0.183	0.175	0.297	0.14	0.236	0.753360032	0.571932749	0.937305832	AT5G61260	Plant calmodulin-binding protein-like protein
AT5G61270	928	808	827	890	26.842	23.392	21.371	23.446	25.117	22.4085	-0.164618078	0.062508422	0.32677098	PIF7	phytochrome-interacting factor7
AT5G61280	7	4	11	5	0.359	0.195	0.541	0.252	0.277	0.3965	0.51743489	0.877340229	0.978387771	AT5G61280	Remorin family protein
AT5G61290	376	241	261	268	11.1	6.76	6.879	7.231	8.93	7.055	-0.340014093	0.060665579	0.320678694	AT5G61290	Flavin-binding monooxygenase family protein
AT5G61300	105	106	131	149	2.316	2.211	2.577	2.993	2.2635	2.785	0.299122021	0.821756236	0.966194613	AT5G61300	uncharacterized protein
AT5G61310	152	181	267	230	11.509	13.231	17.713	15.121	12.37	16.417	0.408345017	0.33966514	0.804342309	AT5G61310	Cytochrome c oxidase subunit Vc family protein
AT5G61320	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	CYP89A3	cytochrome P450, family 89, subfamily A, polypeptide 3
AT5G61330	438	481	718	625	12.424	12.759	18.177	15.9	12.5915	17.0385	0.436348174	0.261790848	0.723465239	AT5G61330	rRNA processing protein-like protein
AT5G61340	111	98	108	118	3.73	3.179	3.292	3.655	3.4545	3.4735	0.007913185	0.480020384	0.905224455	AT5G61340	uncharacterized protein
AT5G61350	27	20	92	117	0.45	0.317	1.37	1.783	0.3835	1.5765	2.039426687	0.0000973	0.002415363	AT5G61350	Protein kinase superfamily protein
AT5G61360	30	23	73	72	1.495	1.089	3.247	3.278	1.292	3.2625	1.336371832	0.021150057	0.157944485	AT5G61360	uncharacterized protein
AT5G61370	19	23	140	144	0.483	0.555	3.176	3.344	0.519	3.26	2.651065521	0.000000004	0.000000459	AT5G61370	Pentatricopeptide repeat (PPR) superfamily protein
AT5G61380	640	1093	2755	2908	10.934	17.741	42.019	45.406	14.3375	43.7125	1.608252405	2.71E-09	0.000000329	TOC1	CCT motif -containing response regulator protein
AT5G61390	82	118	173	200	2.036	2.784	3.835	4.539	2.41	4.187	0.796883772	0.067356264	0.341865438	AT5G61390	Polynucleotidyl transferase, ribonuclease H-like superfamily protein
AT5G61400	21	10	39	28	0.513	0.232	0.85	0.625	0.3725	0.7375	0.985402624	0.289962205	0.754930221	AT5G61400	Pentatricopeptide repeat (PPR) superfamily protein
AT5G61410	14202	14733	13298	12868	455.171	448.97	381.237	377.635	452.0705	379.436	-0.252691212	0.000144965	0.00331604	RPE	D-ribulose-5-phosphate-3-epimerase
AT5G61412	13	12	18	9	0.824	0.723	1.018	0.521	0.7735	0.7695	-0.007479965	0.789944126	0.966194613	AT5G61412	uncharacterized protein
AT5G61420	676	722	947	989	17.14	17.384	21.431	22.899	17.262	22.165	0.360683736	0.418389163	0.866553855	MYB28	myb domain protein 28
AT5G61430	8	11	10	14	0.254	0.332	0.275	0.406	0.293	0.3405	0.216754134	0.995082009	0.99863098	NAC100	NAC domain containing protein 100
AT5G61440	188	442	708	951	5.388	11.99	18.13	24.888	8.689	21.509	1.307678398	0.002112531	0.028505041	ACHT5	atypical CYS HIS rich thioredoxin 5
AT5G61450	248	307	381	331	6.431	7.563	8.82	7.845	6.997	8.3325	0.252012921	0.911036729	0.98553254	AT5G61450	P-loop containing nucleoside triphosphate hydrolases superfamily protein
AT5G61460	196	198	268	249	2.558	2.455	3.122	2.97	2.5065	3.046	0.281241708	0.826929491	0.966871198	MIM	P-loop containing nucleoside triphosphate hydrolases superfamily protein
AT5G61470	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT5G61470	C2H2-like zinc finger protein
AT5G61480	232	289	320	409	2.982	3.529	3.672	4.805	3.2555	4.2385	0.380674649	0.535054403	0.928066541	PXY	Leucine-rich repeat protein kinase family protein
AT5G61490	2	5	68	46	0.097	0.231	2.954	2.045	0.164	2.4995	3.929871807	0.00000538	0.000226133	AT5G61490	uncharacterized protein
AT5G61495	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT5G61495	uncharacterized protein
AT5G61500	698	714	836	819	23.141	22.449	24.562	24.808	22.795	24.685	0.114917236	0.505550278	0.915383121	ATG3	autophagy 3 (APG3)
AT5G61510	806	859	875	823	26.466	26.886	25.65	24.698	26.676	25.174	-0.083607884	0.055366086	0.302952669	AT5G61510	GroES-like zinc-binding alcohol dehydrogenase family protein
AT5G61520	250	461	562	612	5.703	10.035	11.445	12.869	7.869	12.157	0.627535043	0.154799907	0.55832434	AT5G61520	Major facilitator superfamily protein
AT5G61530	572	812	936	879	16.395	22.57	23.906	22.846	19.4825	23.376	0.262849267	0.759591999	0.966188695	AT5G61530	small G protein family protein / RhoGAP family protein
